filename,algorithm,chunk_size,hvg_total,hvg_mean,hvg_medianhvg_std,merge_total,merge_mean,merge_median,merge_std
data/finance01.csv.gz,dual_tree_hvg,1000,3.836222748007458,0.002211079393664241,0.0017266349996134522,0.0031131457419483503,8.283350216999679,0.0047770185795845905,0.005383136000091326,0.004489440891346351
data/finance01.csv.gz,dual_tree_hvg,11183,3.893993093000063,0.025122536083871373,0.020267122000404925,0.007549492175850933,0.6416158150032061,0.004166336461059779,0.002559961500537611,0.01819912592275973
data/finance01.csv.gz,dual_tree_hvg,21367,5.195704998997826,0.06414450616046699,0.07215460799943685,0.013869942711070754,0.5385082479924677,0.0067313530999058456,0.004183073999683984,0.026504094014140053
data/finance01.csv.gz,dual_tree_hvg,31550,5.880892293001125,0.10890541283335417,0.1072892534998573,0.007382234885214505,0.19770959700417734,0.0037303697547957987,0.003946243999962462,0.0015646820782086914
data/finance01.csv.gz,dual_tree_hvg,41734,4.565043298998717,0.11134251948777357,0.11132481000004191,0.021692148400134822,0.15169420700203773,0.003792355175050943,0.004307870999582519,0.0017024356271741052
data/finance01.csv.gz,dual_tree_hvg,51918,4.448917856999287,0.13481569263634205,0.12355561299955298,0.03103741216330383,0.07391748400459619,0.002309921375143631,0.002098396999826946,0.001212109464788011
data/finance01.csv.gz,dual_tree_hvg,62101,4.856977131000349,0.1798880418889018,0.1657286509998812,0.0380710509370873,0.05490070399901015,0.0021115655384234674,0.002281084499827557,0.0008841456997599053
data/finance01.csv.gz,dual_tree_hvg,72285,4.425030579999657,0.18437627416665237,0.17693995850004285,0.022750439311663873,0.09267974800150114,0.004029554260934832,0.004115420999369235,0.001816700679920451
data/finance01.csv.gz,dual_tree_hvg,82469,6.027609008001491,0.28702900038102336,0.3066250210004,0.05175029012149309,0.07677107899962721,0.0038385539499813603,0.004112720000193804,0.0014009619233288516
data/finance01.csv.gz,dual_tree_hvg,92652,4.794638999000199,0.2663688332777888,0.2520104899999751,0.04664157651105383,0.06948535899937269,0.004087374058786629,0.00423157099976379,0.0017584229363639845
data/finance01.csv.gz,dual_tree_hvg,102836,4.858467357999871,0.3036542098749919,0.2914115804996982,0.054854068049922274,0.031629566000447085,0.002108637733363139,0.002292579000823025,0.0008322432063401971
data/finance01.csv.gz,dual_tree_hvg,113020,5.2094072350018905,0.3472938156667927,0.3335128150001765,0.06207032327447775,0.049018324998542084,0.0035013089284672916,0.003542947999903845,0.002139413116424257
data/finance01.csv.gz,dual_tree_hvg,123203,5.2309442520008815,0.3736388751429201,0.37237982700025896,0.07437724343510124,0.056160494000323524,0.004320038000024886,0.004431497999576095,0.0014786047647885512
data/finance01.csv.gz,dual_tree_hvg,133387,4.3800577689999045,0.33692752069230036,0.3340041410001504,0.010731801646693843,0.02499334299864131,0.0020827785832201093,0.0021920804997535015,0.0007909098683762597
data/finance01.csv.gz,dual_tree_hvg,143571,4.2702438380001695,0.3558536531666808,0.35349852000035753,0.011066169804373275,0.026143588001104945,0.002376689818282268,0.0024776930004009046,0.0009348125419270585
data/finance01.csv.gz,dual_tree_hvg,153754,4.892925131998709,0.44481137563624623,0.45658043599996745,0.05458278430039581,0.035062401000686805,0.0035062401000686806,0.00396937049981716,0.0018321597846902983
data/finance01.csv.gz,dual_tree_hvg,163938,4.197187284003121,0.4197187284003121,0.41238135999992664,0.0167014738658911,0.020983122999496118,0.002331458111055124,0.0025501760001134244,0.0009286978050795277
data/finance01.csv.gz,dual_tree_hvg,174122,6.2040204999975685,0.689335611110841,0.6805040580002242,0.026263440122020927,0.03671292700073536,0.00458911587509192,0.004525997500422818,0.0017091054642955138
data/finance01.csv.gz,dual_tree_hvg,184305,5.163696782001352,0.5737440868890391,0.5482603959999324,0.060260526097274204,0.03645759799928783,0.004557199749910978,0.004632417500033625,0.0020556249788482284
data/finance01.csv.gz,dual_tree_hvg,194489,4.140897366998615,0.5176121708748269,0.5119143394995262,0.018258832549279444,0.015983290000804118,0.002283327142972017,0.0019033309999940684,0.0009966471354294992
data/finance01.csv.gz,dual_tree_hvg,204673,4.330636683002012,0.5413295853752516,0.5310122130003947,0.02203861948829958,0.017436099000406102,0.0024908712857723003,0.0023449890004485496,0.0009248341087124401
data/finance01.csv.gz,dual_tree_hvg,214856,4.5372791750014585,0.5671598968751823,0.5622695420001946,0.013107517329673619,0.016937264998887258,0.0024196092855553225,0.0025293109993071994,0.0009496703867059499
data/finance01.csv.gz,dual_tree_hvg,225040,5.131332636000479,0.7330475194286399,0.7190243410004769,0.07318767245268072,0.012665464000747306,0.002110910666791218,0.0019431655005064385,0.0007583430336570454
data/finance01.csv.gz,dual_tree_hvg,235224,6.685967102999712,0.9551381575713874,0.953885506000006,0.02943908689719144,0.02606081800058746,0.004343469666764577,0.004022418499971536,0.0018453858844917218
data/finance01.csv.gz,dual_tree_hvg,245407,5.113260815999638,0.7304658308570912,0.7233456490002936,0.057636029675733655,0.015338351999162114,0.0025563919998603524,0.002464057999986835,0.0006112783542387925
data/finance01.csv.gz,dual_tree_hvg,255591,4.939571060001072,0.8232618433335119,0.8228801105001367,0.08338330357722298,0.015334124001128657,0.0030668248002257313,0.002781471000162128,0.0012846398763690001
data/finance01.csv.gz,dual_tree_hvg,265774,4.958191211999292,0.8263652019998821,0.8350707459999285,0.11115144137608805,0.022274797999671136,0.004454959599934227,0.0038766079997003544,0.001518986378955609
data/finance01.csv.gz,dual_tree_hvg,275958,6.696828756998912,1.1161381261664853,1.15866071749997,0.08522034097581833,0.02018370400128333,0.004036740800256666,0.003908849000254122,0.0008958163677750139
