source,length,rep,hvg_algorithm,time_in_seconds
fbm_0.40,131072,5,dual_tree_hvg,1.679539115051739
fbm_0.40,131072,6,dual_tree_hvg,1.644434018060565
fbm_0.40,131072,7,dual_tree_hvg,1.7841837470186874
fbm_0.40,131072,8,dual_tree_hvg,1.6849124330328777
fbm_0.40,131072,9,dual_tree_hvg,1.3861810950329527
fbm_0.45,131072,0,dual_tree_hvg,1.5854276239406317
fbm_0.45,131072,1,dual_tree_hvg,1.6292034239741042
fbm_0.45,131072,2,dual_tree_hvg,1.4340624749893323
fbm_0.45,131072,3,dual_tree_hvg,1.5345423079561442
fbm_0.45,131072,4,dual_tree_hvg,1.7033420879160985
fbm_0.45,131072,5,dual_tree_hvg,1.5360378950135782
fbm_0.45,131072,6,dual_tree_hvg,1.660980864893645
fbm_0.45,131072,7,dual_tree_hvg,1.6403392161009833
fbm_0.45,131072,8,dual_tree_hvg,1.7272125340532511
fbm_0.45,131072,9,dual_tree_hvg,1.792332952027209
fbm_0.50,131072,0,dual_tree_hvg,1.6176185690565035
fbm_0.50,131072,1,dual_tree_hvg,1.9477801059838384
fbm_0.50,131072,2,dual_tree_hvg,1.5133949499577284
fbm_0.50,131072,3,dual_tree_hvg,1.5970309060066938
fbm_0.50,131072,4,dual_tree_hvg,1.8443698299815878
fbm_0.50,131072,5,dual_tree_hvg,1.7900694570271298
fbm_0.50,131072,6,dual_tree_hvg,1.8199409240623936
fbm_0.50,131072,7,dual_tree_hvg,1.6847067240159959
fbm_0.50,131072,8,dual_tree_hvg,1.6796319599961862
fbm_0.50,131072,9,dual_tree_hvg,1.6817648879950866
fbm_0.55,131072,0,dual_tree_hvg,1.8938737550051883
fbm_0.55,131072,1,dual_tree_hvg,1.7360348399961367
fbm_0.55,131072,2,dual_tree_hvg,1.8450429649092257
fbm_0.55,131072,3,dual_tree_hvg,1.6548459549667314
fbm_0.55,131072,4,dual_tree_hvg,1.906272169901058
fbm_0.55,131072,5,dual_tree_hvg,1.6180511900456622
fbm_0.55,131072,6,dual_tree_hvg,1.9731458859751
fbm_0.55,131072,7,dual_tree_hvg,1.6985269339056686
fbm_0.55,131072,8,dual_tree_hvg,1.6900557490298524
fbm_0.55,131072,9,dual_tree_hvg,1.6882553979521617
fbm_0.60,131072,0,dual_tree_hvg,2.0294084310298786
fbm_0.60,131072,1,dual_tree_hvg,1.7293071660678834
fbm_0.60,131072,2,dual_tree_hvg,1.953775406931527
fbm_0.60,131072,3,dual_tree_hvg,1.8759370649931952
fbm_0.60,131072,4,dual_tree_hvg,1.9800115999532863
fbm_0.60,131072,5,dual_tree_hvg,2.077452852972783
fbm_0.60,131072,6,dual_tree_hvg,2.026002687984146
fbm_0.60,131072,7,dual_tree_hvg,1.7433590099681169
fbm_0.60,131072,8,dual_tree_hvg,1.903355490998365
fbm_0.60,131072,9,dual_tree_hvg,1.8188611350487918
fbm_0.65,131072,0,dual_tree_hvg,1.9490465469425544
fbm_0.65,131072,1,dual_tree_hvg,1.752899148967117
fbm_0.65,131072,2,dual_tree_hvg,1.630268441978842
fbm_0.65,131072,3,dual_tree_hvg,1.6543136880500242
fbm_0.65,131072,4,dual_tree_hvg,1.812848828965798
fbm_0.65,131072,5,dual_tree_hvg,1.8921895599924028
fbm_0.65,131072,6,dual_tree_hvg,1.7271604429697618
fbm_0.65,131072,7,dual_tree_hvg,1.7930279610445723
fbm_0.65,131072,8,dual_tree_hvg,1.8798673190176487
fbm_0.65,131072,9,dual_tree_hvg,1.6150223989970982
fbm_0.70,131072,0,dual_tree_hvg,1.8059148259926587
fbm_0.70,131072,1,dual_tree_hvg,2.1360907360212877
fbm_0.70,131072,2,dual_tree_hvg,1.657234375947155
fbm_0.70,131072,3,dual_tree_hvg,2.0361326690763235
fbm_0.70,131072,4,dual_tree_hvg,2.305224278010428
fbm_0.70,131072,5,dual_tree_hvg,1.7783082959940657
fbm_0.70,131072,6,dual_tree_hvg,2.144373005023226
fbm_0.70,131072,7,dual_tree_hvg,1.9977453619940206
fbm_0.70,131072,8,dual_tree_hvg,2.007196230930276
fbm_0.70,131072,9,dual_tree_hvg,2.0013184170238674
fbm_0.75,131072,0,dual_tree_hvg,1.929418834974058
fbm_0.75,131072,1,dual_tree_hvg,2.301327185938135
fbm_0.75,131072,2,dual_tree_hvg,1.61025055591017
fbm_0.75,131072,3,dual_tree_hvg,2.2248427810845897
fbm_0.75,131072,4,dual_tree_hvg,1.8637511589331552
fbm_0.75,131072,5,dual_tree_hvg,1.985723077901639
fbm_0.75,131072,6,dual_tree_hvg,1.5461535829817876
fbm_0.75,131072,7,dual_tree_hvg,2.161739103961736
fbm_0.75,131072,8,dual_tree_hvg,1.8229653079761192
fbm_0.75,131072,9,dual_tree_hvg,1.5160935110179707
fbm_0.80,131072,0,dual_tree_hvg,1.0848925659665838
fbm_0.80,131072,1,dual_tree_hvg,1.228019849047996
fbm_0.80,131072,2,dual_tree_hvg,2.3528620849829167
fbm_0.80,131072,3,dual_tree_hvg,1.169204807956703
fbm_0.80,131072,4,dual_tree_hvg,1.9024772689444944
fbm_0.80,131072,5,dual_tree_hvg,0.8902174800168723
fbm_0.80,131072,6,dual_tree_hvg,1.345434509916231
fbm_0.80,131072,7,dual_tree_hvg,1.2652180270524696
fbm_0.80,131072,8,dual_tree_hvg,1.3126114240149036
fbm_0.80,131072,9,dual_tree_hvg,0.9263378179166466
linear_trend_0.0,131072,0,dual_tree_hvg,0.9074323349632323
linear_trend_0.0,131072,1,dual_tree_hvg,0.9417018489912152
linear_trend_0.0,131072,2,dual_tree_hvg,0.9612480829237029
linear_trend_0.0,131072,3,dual_tree_hvg,0.8028741630259901
linear_trend_0.0,131072,4,dual_tree_hvg,1.4941563280299306
linear_trend_0.0,131072,5,dual_tree_hvg,1.061396914999932
linear_trend_0.0,131072,6,dual_tree_hvg,0.9444652439560741
linear_trend_0.0,131072,7,dual_tree_hvg,1.1656722099287435
linear_trend_0.0,131072,8,dual_tree_hvg,1.0123182559618726
linear_trend_0.0,131072,9,dual_tree_hvg,1.0142366079380736
linear_trend_0.2,131072,0,dual_tree_hvg,0.8635231620864943
linear_trend_0.2,131072,1,dual_tree_hvg,1.3156577949412167
linear_trend_0.2,131072,2,dual_tree_hvg,0.9853299510432407
linear_trend_0.2,131072,3,dual_tree_hvg,0.8418683839263394
linear_trend_0.2,131072,4,dual_tree_hvg,0.9197074449621141
linear_trend_0.2,131072,5,dual_tree_hvg,1.0225238989805803
linear_trend_0.2,131072,6,dual_tree_hvg,1.1002898330334574
linear_trend_0.2,131072,7,dual_tree_hvg,0.9313739279750735
linear_trend_0.2,131072,8,dual_tree_hvg,0.9518298670882359
linear_trend_0.2,131072,9,dual_tree_hvg,1.1459609509911388
linear_trend_0.4,131072,0,dual_tree_hvg,1.2923017819412053
linear_trend_0.4,131072,1,dual_tree_hvg,0.9651066899532452
linear_trend_0.4,131072,2,dual_tree_hvg,1.0391724610235542
linear_trend_0.4,131072,3,dual_tree_hvg,1.127200981019996
