hurst_exponent,algorithm,chunk_size,hvg_total,hvg_mean,hvg_median,hvg_std,merge_total,merge_mean,merge_median,merge_std
0.2,dual_tree_hvg,4096,1.4688411229290068,0.005715335108673178,0.005624713841825724,0.0013890122836723907,0.035007195081561804,0.0001367468557873508,0.00013250834308564663,3.584704795759987e-05
0.2,dual_tree_hvg,8192,1.4304741192609072,0.011088946660937266,0.010986050125211477,0.00208707647883614,0.018667299766093493,0.0001458382794226054,0.0001387489028275013,4.501966165818203e-05
0.2,dual_tree_hvg,12288,1.4513100562617183,0.016875698328624632,0.01674334704875946,0.0026490598295738376,0.012931325007230043,0.000152133235379177,0.00014645373448729515,4.6606528738996516e-05
0.2,dual_tree_hvg,16384,1.4226970560848713,0.021887647016690326,0.02184886485338211,0.004042769951159874,0.009706754703074694,0.0001516680422355421,0.00014706025831401348,5.034817645886086e-05
0.2,dual_tree_hvg,20480,1.411072232760489,0.02713600447616325,0.026923773111775517,0.004557533659931131,0.00837811641395092,0.0001642767924304102,0.00015648407861590385,5.7834861120825825e-05
0.2,dual_tree_hvg,24576,1.6683681230060756,0.0387992586745599,0.037798549979925156,0.007223776428534582,0.0072221411392092705,0.00017195574140974453,0.00016902899369597435,5.548397541341634e-05
0.2,dual_tree_hvg,28672,1.4565014420077205,0.0393649038380465,0.03914082795381546,0.004843518280436526,0.005697605665773153,0.00015826682404925427,0.0001482442021369934,5.205942062229283e-05
0.2,dual_tree_hvg,32768,1.4958009170368314,0.04532730051626762,0.045971937011927366,0.00932863651039763,0.0050681703723967075,0.0001583803241373971,0.00014847982674837112,5.232646591543498e-05
0.2,dual_tree_hvg,36864,1.469934935681522,0.05068741157522489,0.050690554082393646,0.007669956948459042,0.004700384568423033,0.00016787087744367973,0.0001612347550690174,6.522513121813152e-05
0.2,dual_tree_hvg,40960,1.4463543887250125,0.05562901495096202,0.05549208400771022,0.006632780272076663,0.004615603014826775,0.000184624120593071,0.0001801149919629097,7.561597110798389e-05
0.2,dual_tree_hvg,45056,2.2368416958488524,0.09320173732703552,0.09314619703218341,0.022839595911547186,0.004683922044932842,0.0002036487845622975,0.00019246386364102364,7.743873665148359e-05
0.2,dual_tree_hvg,49152,2.3350291326642036,0.1061376878483729,0.10673676989972591,0.025470317649289354,0.004432009998708963,0.0002110480951766173,0.0001933039166033268,7.775101604764181e-05
0.2,dual_tree_hvg,53248,1.5684006116352975,0.07842003058176487,0.07807495654560626,0.00955135349442713,0.0034110895358026028,0.000179531028200137,0.00017569493502378464,5.515626607301039e-05
